country_code,decade,contemporaneous_effect
CIV,2020-2024,0.6125513676086274
CMR,1960s,-1.2543467781682929
CMR,1970s,-1.7937750239753012
CMR,1980s,0.6249739748726679
CMR,1990s,-7.08025346583596
CMR,2000s,3.076847307514315
CMR,2010s,2.279753231947003
CMR,2020-2024,0.46008851774521964
COD,1960s,1.3918628406178453
COD,1970s,-0.9725413052921699
COD,1980s,1.8266572516972914
COD,1990s,-5.257829890798286
COD,2000s,3.751414624874667
COD,2010s,-4.570896217130691
COD,2020-2024,0.5445575464117516
COG,1960s,-1.3858231707661064
COG,1970s,0.4872402023806253
COG,1980s,5.9116942920213065
COG,1990s,-5.045601179329786
COG,2000s,3.6002116645842395
COG,2010s,-2.4643151033454567
COG,2020-2024,1.655205819926307
COL,1960s,1.8877557901747435
COL,1970s,-2.51067118565597
COL,1980s,-0.9052442484701565
COL,1990s,-2.2682505523531358
COL,2000s,0.10741239209385448
COL,2010s,1.4030255466810897
COL,2020-2024,-0.0033755182701854305
COM,1960s,1.1183556178481058
COM,1970s,5.335003895394722
COM,1980s,-1.1408713187394266
COM,1990s,1.4212972897613871
COM,2000s,5.673448662103693
COM,2010s,-0.5364269473447743
COM,2020-2024,1.142471409836392
CPV,1960s,2.043935060990641
CPV,1970s,7.753766634646355
CPV,1980s,-2.2779140942896774
CPV,1990s,-0.16917318916737026
CPV,2000s,0.7227225079505587
CPV,2010s,-0.22881549158854758
CPV,2020-2024,-0.07894915066392452
CRI,1960s,2.412580909790017
CRI,1970s,-3.94768380573411
CRI,1980s,1.7805288748116201
CRI,1990s,0.870302261495695
CRI,2000s,-1.5433413879336835
CRI,2010s,-0.15471938000320523
CRI,2020-2024,-0.46222537100061056
CUB,1960s,-1.356434228209233
CUB,1970s,6.184017786628762
CUB,1980s,-1.609105901629751
CUB,1990s,4.660334789074441
CUB,2000s,-3.794998816652866
CUB,2010s,4.294181679068608
CUB,2020-2024,0.08248894543719676
CYP,1960s,-0.7724726954667689
CYP,1970s,-1.9658655406491135
CYP,1980s,1.7442118942139408
CYP,1990s,-1.3419536578091935
CYP,2000s,0.10335941797426372
CYP,2010s,0.30372927176107345
CYP,2020-2024,0.22150419054953566
CZE,1960s,2.5933884294183454
